"","id","team_api_id","team_fifa_api_id","team_long_name","team_short_name","max_build","max_chance","max_defence","goal"
"228",37210,8348,1900,"Moreirense FC","MOR",139,144,138,101
"229",37214,7842,10020,"Estoril Praia","EST",174,139,150,167
"230",37696,158085,112513,"FC Arouca","ARO",174,160,113,101
"231",38173,6547,100741,"FC Penafiel","PEN",147,146,121,29
"232",38176,8613,1898,"Boavista FC","BOA",153,128,148,51
"233",38789,6367,NA,"Uniao da Madeira","MAD",NA,NA,NA,27
"234",38791,188163,NA,"Tondela","TON",NA,NA,NA,34
"235",39387,8596,79,"Falkirk","FAL",NA,200,200,68
"236",39388,8548,86,"Rangers","RAN",153,210,200,324
"237",39389,9860,80,"Heart of Midlothian","HEA",168,210,200,317
"238",39390,9927,83,"Motherwell","MOT",172,205,200,403
"239",39391,8597,82,"Kilmarnock","KIL",167,205,200,346
"240",39392,10251,81,"Hibernian","HIB",148,200,200,259
"241",39393,8485,77,"Aberdeen","ABE",184,210,200,365
"242",39394,8066,620,"Inverness Caledonian Thistle","INV",169,174,139,345
"243",39395,9925,78,"Celtic","CEL",180,205,200,695
"244",39396,9800,100805,"St. Mirren","MIR",178,210,200,257
"245",39397,8429,184,"Hamilton Academical FC","HAM",143,200,195,185
"246",39398,9938,181,"Dundee United","DUU",171,205,200,438
"247",39853,8467,100804,"St. Johnstone FC","JOH",162,150,142,308
"248",40757,8457,182,"Dunfermline Athletic","DUN",NA,168,148,40
"249",41216,8284,180,"Dundee FC","DUF",142,158,154,127
"250",41217,8649,631,"Ross County FC","ROS",153,153,143,192
"251",41673,8426,1754,"Partick Thistle F.C.","PAR",143,160,143,135
"252",43035,10267,461,"Valencia CF","VAL",116,185,175,484
"253",43036,8661,453,"RCD Mallorca","MAL",172,163,156,238
"254",43037,8371,479,"CA Osasuna","OSA",143,193,177,232
"255",43038,10205,483,"Villarreal CF","VIL",126,161,165,364
"256",43039,9783,242,"RC Deportivo de La Coruña","COR",157,187,154,241
"257",43040,8633,243,"Real Madrid CF","REA",153,200,178,843
"258",43041,8388,477,"CD Numancia","NUM",137,160,158,38
"259",43042,8634,241,"FC Barcelona","BAR",122,175,195,849
"260",43043,8696,456,"Racing Santander","SAN",147,205,168,160
"261",43044,8302,481,"Sevilla FC","SEV",183,206,195,478
"262",43045,9869,459,"Real Sporting de Gijón","SPG",153,185,195,200
"263",43046,8305,1860,"Getafe CF","GET",117,155,164,345
"264",43047,8603,449,"Real Betis Balompié","BET",145,206,165,225
"265",43048,8479,571,"RC Recreativo","HUE",148,140,151,34
"266",43049,8558,452,"RCD Espanyol","ESP",146,196,180,338
"267",43050,10281,462,"Real Valladolid","VAL",153,172,161,170
"268",43051,8315,448,"Athletic Club de Bilbao","BIL",131,184,170,415
"269",43052,9865,1861,"UD Almería","ALM",152,180,193,202
"270",43053,9906,240,"Atlético Madrid","AMA",157,206,160,524
"271",43054,9864,573,"Málaga CF","MAL",129,191,164,377
"272",43800,9868,1742,"Xerez Club Deportivo","XER",NA,159,165,38
"273",43803,8394,244,"Real Zaragoza","ZAR",154,166,158,159
"274",43804,9867,260,"CD Tenerife","TEN",163,180,174,40
"275",44557,10278,100879,"Hércules Club de Fútbol","HER",154,178,160,36
"276",44565,8581,1853,"Levante UD","LEV",171,182,155,241
"277",44569,8560,457,"Real Sociedad","SOC",162,171,171,316
"278",45330,7878,110832,"Granada CF","GRA",166,200,170,179
"279",45333,8370,480,"Rayo Vallecano","RAY",141,161,178,247
"280",46087,9910,450,"RC Celta de Vigo","CEL",169,179,169,184
"281",46848,10268,468,"Elche CF","ELC",171,165,158,65
"282",47605,8372,467,"SD Eibar","EIB",165,179,142,83
"283",47612,7869,1867,"Córdoba CF","COR",146,171,129,22
"284",48358,8306,472,"UD Las Palmas","LAS",147,187,171,45
"285",49115,9956,322,"Grasshopper Club Zürich","GRA",164,184,160,429
"286",49116,6493,1714,"AC Bellinzona","BEL",NA,175,150,128
"287",49117,10192,900,"BSC Young Boys","YB",172,202,170,529
"288",49118,9931,896,"FC Basel","BAS",170,186,180,619
"289",49119,9930,434,"FC Aarau","AAR",156,181,150,153
"290",49120,10179,110770,"FC Sion","SIO",155,177,146,371
"291",49121,10199,897,"FC Luzern","LUZ",165,175,153,421
"292",49122,9824,286,"FC Vaduz","VAD",141,137,133,100
"293",49123,7955,435,"Neuchâtel Xamax","XAM",NA,190,150,171
"294",49124,10243,894,"FC Zürich","ZUR",157,165,163,468
"295",49479,10190,898,"FC St. Gallen","GAL",146,157,155,276
"296",49837,10191,1715,"FC Thun","THU",152,166,145,279
"297",50201,9777,324,"Servette FC","SER",NA,175,170,77
"298",50204,7730,1862,"FC Lausanne-Sports","LAU",141,164,165,99
"299",51606,7896,NA,"Lugano","LUG",NA,NA,NA,46
